Dylan,123 Main St,(555) 555-1212
Jane Doe,456 Oak St,(555) 555-2323
Bob Johnson,789 Maple Ave,(555) 555-3434
Sarah Lee,1010 Elm St,(555) 555-4545
Tom Brown,111 Pine St,(555) 555-5656
Mary Jones,1313 Oak St,(555) 555-6767
David Lee,1414 Maple Ave,(555) 555-7878
Lisa Smith,1515 Elm St,(555) 555-8989
Mike Johnson,1616 Pine St,(555) 555-0101
Karen Brown,1717 Oak St,(555) 555-1212
James Lee,1818 Maple Ave,(555) 555-2323
Emily Smith,1919 Elm St,(555) 555-3434
Mark Johnson,2020 Pine St,(555) 555-4545
Rachel Brown,2121 Oak St,(555) 555-5656
Eric Lee,2222 Maple Ave,(555) 555-6767
Amanda Smith,2323 Elm St,(555) 555-7878
Kevin Johnson,2424 Pine St,(555) 555-8989
Nicole Brown,2525 Oak St,(555) 555-0101
Steven Lee,2626 Maple Ave,(555) 555-1212
Samantha Smith,12345,(555) 555-2323
